Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude
incident,New York State Department of Transportation Region 3,I-81,Southbound,ramp to Syracuse,Onondaga,NY,2019-09-25 09:10:40,09/25/2019 09:27:26 AM,Accident on I-81 southbound ramp to Exit 19 - Salina Street; Clinton Street (Syracuse) exit ramp closed,New York State Department of Transportation Region 3,43.0524,-76.1502
accident,New York State Department of Transportation Region 3,I-81,Southbound,just past Syracuse,Onondaga,NY,2019-09-24 19:11:27,09/24/2019 08:10:43 PM,Accident on I-81 southbound just past Exit 16A - I-481 (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.003799,-76.133598
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Brutus,Cayuga,NY,2019-09-24 16:22:47,09/24/2019 04:52:25 PM,"Accident on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 4:19 PM, 09/24/2019 until further notice. [CARS CAD-192670356]",New York State Thruway-State Wide Operations Center - Albany,42.967682,-76.852361
disabled vehicle,New York State Department of Transportation Region 3,I-690,Eastbound,at Syracuse,Onondaga,NY,2019-09-24 07:12:25,09/24/2019 07:34:40 AM,Disabled vehicle on I-690 eastbound at I-81 Southbound (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.0513,-76.149002
accident,New York State Department of Transportation Region 3,I-81,Northbound,before Syracuse,Onondaga,NY,2019-09-23 16:24:27,09/23/2019 04:51:36 PM,Accident on I-81 northbound before Exit 23 - NY 370 East; Park Street; Hiawatha Boulevard (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.068298,-76.166702
disabled vehicle,New York State Department of Transportation Region 3,I-690,Westbound,at Syracuse,Onondaga,NY,2019-09-23 11:49:24,09/23/2019 12:04:25 PM,Disabled vehicle on I-690 westbound at Exit 10 - Geddes Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.0559,-76.170402
accident,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-09-23 10:14:34,09/23/2019 12:12:26 PM,Accident on I-81 southbound before Exit 17 - South Salina Street; Brighton Avenue; State Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.02,-76.140296
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between Brutus,Cayuga,NY,2019-09-22 16:58:22,09/22/2019 06:04:17 PM,"Accident on I-90 - NYS Thruway eastbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 39 (I-90) - State Fair (I-690) starting 4:55 PM, 09/22/2019 until further notice. [CARS CAD-192650297]",New York State Thruway-State Wide Operations Center - Albany,43.076686,-76.484627
incident,New York State Department of Transportation Region 3,I-690,Eastbound,at Syracuse,Onondaga,NY,2019-09-20 22:23:19,09/21/2019 01:33:21 AM,Accident on I-690 eastbound at Exit 8 - Hiawatha Boulevard (Syracuse) all lanes closed,New York State Department of Transportation Region 3,43.059398,-76.185501
incident,New York State Department of Transportation Region 3,NY 5,Both directions,east of Manlius,Onondaga,NY,2019-09-20 10:23:27,09/20/2019 11:07:23 AM,Accident on NY 5 both directions east of Duguid Road (Manlius) closed Between George Taylor Rd and George Taylor Rd,New York State Department of Transportation Region 3,43.0334,-75.9838
accident,New York State Department of Transportation Region 3,I-81,Southbound,before Onondaga,Onondaga,NY,2019-09-19 17:33:30,09/19/2019 07:51:22 PM,Accident on I-81 southbound before Exit 16 - US 11; Nedrow; Onondaga Nation (Onondaga) left lane closed,New York State Department of Transportation Region 3,42.952499,-76.138298
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Brutus,Cayuga,NY,2019-09-19 09:02:35,09/19/2019 09:58:28 AM,"Accident on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 8:59 AM, 09/19/2019 until further notice. [CARS CAD-192620104]",New York State Thruway-State Wide Operations Center - Albany,42.97066,-76.824999
accident,New York State Department of Transportation Region 3,I-690,Westbound,before Geddes,Onondaga,NY,2019-09-18 20:21:23,09/18/2019 10:07:24 PM,Accident on I-690 westbound before Exit 7 - ROUTE 297; Solvay-Fairgrounds (Geddes) right lane closed,New York State Department of Transportation Region 3,43.0764,-76.214302
accident,New York State Department of Transportation Region 3,I-690,Westbound,at Syracuse,Onondaga,NY,2019-09-18 17:32:21,09/18/2019 06:16:24 PM,Accident on I-690 westbound at I-81 Northbound (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.0512,-76.145698
accident,New York State Department of Transportation Region 3,I-690,Westbound,at Syracuse,Onondaga,NY,2019-09-18 14:08:27,09/18/2019 02:43:24 PM,Accident on I-690 westbound at I-81 Northbound (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.0512,-76.145698
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Van Buren,Onondaga,NY,2019-09-18 08:29:28,09/18/2019 09:11:27 AM,"Accident on I-90 - NYS Thruway westbound between Exit 39 (I-90) - State Fair (I-690) and Exit 40 (I-90) - Weedsport (Rte 34) starting 8:26 AM, 09/18/2019 until further notice. [CARS CAD-192610095]",New York State Thruway-State Wide Operations Center - Albany,43.100656,-76.303515
accident,New York State Department of Transportation Region 3,I-81,Northbound,at Cicero,Onondaga,NY,2019-09-17 18:34:26,09/17/2019 07:31:21 PM,Accident on I-81 northbound at Exit 29S - I-481 South; Dewitt (Cicero) left lane closed,New York State Department of Transportation Region 3,43.137199,-76.116996
accident,New York State Department of Transportation Region 3,I-481,Southbound,at Cicero,Onondaga,NY,2019-09-17 18:30:38,09/17/2019 07:13:21 PM,Accident on I-481 southbound at Exit 8 - Northern Boulevard (Cicero) right lane closed,New York State Department of Transportation Region 3,43.1352,-76.077796
accident,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-09-17 07:55:26,09/17/2019 08:42:24 AM,Accident on I-81 southbound before Exit 21 - Spencer Street; Catawba Street (Syracuse) left and center lanes closed,New York State Department of Transportation Region 3,43.0601,-76.155296
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Brutus,Cayuga,NY,2019-09-16 18:15:22,09/16/2019 06:48:24 PM,"Accident on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 6:13 PM, 09/16/2019 until further notice. [CARS CAD-192590384]",New York State Thruway-State Wide Operations Center - Albany,43.059342,-76.574254
accident,New York State Department of Transportation Region 3,NY 635,Northbound,at De Witt,Onondaga,NY,2019-09-16 17:29:21,09/16/2019 05:44:21 PM,Accident on NY 635 northbound at I-690; Ramp (De Witt) center lane closed,New York State Department of Transportation Region 3,43.0582,-76.083602
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between De Witt,Onondaga,NY,2019-09-16 11:42:28,09/16/2019 12:27:27 PM,"Accident on I-90 - NYS Thruway eastbound between Exit 34A (I-90) - East Syracuse (I-481) and Exit 34 (I-90) - Canastota (Rte 13) starting 11:39 AM, 09/16/2019 until further notice. [CARS CAD-192590186]",New York State Thruway-State Wide Operations Center - Albany,43.092163,-75.946917
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Van Buren,Onondaga,NY,2019-09-15 16:03:20,09/15/2019 04:51:22 PM,"Accident on I-90 - NYS Thruway westbound between Exit 39 (I-90) - State Fair (I-690) and Exit 40 (I-90) - Weedsport (Rte 34) starting 4:02 PM, 09/15/2019 until further notice. [CARS CAD-192580269]",New York State Thruway-State Wide Operations Center - Albany,43.106088,-76.291988
accident,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-09-14 14:31:22,09/14/2019 03:20:25 PM,Accident on I-81 southbound before Exit 20 - Franklin Street; West Street (Syracuse) left and center lanes closed,New York State Department of Transportation Region 3,43.055999,-76.153297
accident,New York State Department of Transportation Region 3,I-81,Southbound,just past Syracuse,Onondaga,NY,2019-09-14 07:47:22,09/14/2019 08:06:24 AM,Accident on I-81 southbound just past Exit 23A and Exit 23B and Exit 22; Hiawatha Boulevard; Carousel Center Drive; Bear Street; NY 298 to I-690 West (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.074501,-76.170799
accident,New York State Department of Transportation Region 3,I-81,Northbound,between Onondaga,Onondaga,NY,2019-09-14 02:12:22,09/14/2019 03:41:18 AM,Accident on I-81 northbound between Exit 16 - US 11; Nedrow; Onondaga Nation (Onondaga) and Exit 16A - I-481 (Syracuse) left lane closed,New York State Department of Transportation Region 3,42.952499,-76.138298
disabled vehicle,New York State Department of Transportation Region 3,I-690,Westbound,ramp from Syracuse,Onondaga,NY,2019-09-13 16:16:24,09/13/2019 04:17:23 PM,Disabled vehicle on I-690 westbound ramp from Exit 14 - Teall Avenue (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.052101,-76.125801
accident,New York State Department of Transportation Region 3,I-81,Northbound,just past Syracuse,Onondaga,NY,2019-09-13 15:55:21,09/13/2019 05:22:38 PM,Accident on I-81 northbound just past I-690 West (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.051399,-76.145797
incident,New York State Department of Transportation Region 3,NY 370,Eastbound,between Salina,Onondaga,NY,2019-09-12 17:52:23,09/12/2019 10:47:23 PM,Accident on NY 370 eastbound between Oswego Street (Salina) and I-81 (Syracuse) all lanes closed,New York State Department of Transportation Region 3,43.089897,-76.192932
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Van Buren,Onondaga,NY,2019-09-12 06:03:31,09/12/2019 07:15:25 AM,"Accident on I-90 - NYS Thruway westbound between Exit 39 (I-90) - State Fair (I-690) and Exit 40 (I-90) - Weedsport (Rte 34) starting 6:01 AM, 09/12/2019 until further notice. [CARS CAD-192550037]",New York State Thruway-State Wide Operations Center - Albany,43.106621,-76.290153
"delays, stop and go traffic",New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,from Brutus,Cayuga,NY,2019-09-11 10:00:33,09/11/2019 11:51:29 AM,"Delays, slow traffic, stop and go traffic on I-90 - NYS Thruway westbound from after Exit 40 (I-90) - Weedsport (Rte 34) to before Exit 41 (I-90) - Waterloo (Rte 414) starting 9:59 AM, 09/11/2019 until further notice. [CARS CAD-192540115]",New York State Thruway-State Wide Operations Center - Albany,42.998921,-76.726773
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Brutus,Cayuga,NY,2019-09-11 06:39:22,09/11/2019 11:45:25 AM,"Accident, right lane blocked on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 6:51 AM, 09/11/2019 until further notice. [CARS CAD-192540042]",New York State Thruway-State Wide Operations Center - Albany,42.980691,-76.797042
accident,New York State Department of Transportation Region 3,I-81,Northbound,ramps from Syracuse,Onondaga,NY,2019-09-10 17:38:34,09/10/2019 06:14:24 PM,Accident on I-81 northbound ramps from Exit 18 - Adams Street; Harrison Street (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.039398,-76.142097
"delays, stop and go traffic",New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,from De Witt,Onondaga,NY,2019-09-10 11:11:23,09/10/2019 01:45:24 PM,"Slow traffic, stop and go traffic, delays on I-90 - NYS Thruway eastbound from after Exit 34A (I-90) - East Syracuse (I-481) to before Exit 34 (I-90) - Canastota (Rte 13) starting 12:02 PM, 09/10/2019 until further notice. [CARS CAD-192530102]",New York State Thruway-State Wide Operations Center - Albany,43.093674,-75.797623
"delays, earlier incident",New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between De Witt,Onondaga,NY,2019-09-10 10:35:23,09/10/2019 10:41:30 AM,"Incident cleared, delays on I-90 - NYS Thruway eastbound between Exit 34A (I-90) - East Syracuse (I-481) and Exit 34 (I-90) - Canastota (Rte 13) starting 10:34 AM, 09/10/2019 until further notice. [CARS CAD-192530141]",New York State Thruway-State Wide Operations Center - Albany,43.094179,-75.81338
accident,New York State Department of Transportation Region 3,I-81,Northbound,just past Salina,Onondaga,NY,2019-09-10 02:23:18,09/10/2019 03:16:22 AM,Accident on I-81 northbound just past Exit 27- Syracuse Airport (Salina) left lane closed,New York State Department of Transportation Region 3,43.113201,-76.142501
"delays, stop and go traffic",New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,from Brutus,Cayuga,NY,2019-09-09 16:05:19,09/09/2019 06:41:19 PM,"Delays, slow traffic, stop and go traffic on I-90 - NYS Thruway westbound from after Exit 40 (I-90) - Weedsport (Rte 34) to before Exit 41 (I-90) - Waterloo (Rte 414) starting 6:20 PM, 09/09/2019 until further notice. [CARS CAD-192520344]",New York State Thruway-State Wide Operations Center - Albany,43.055114,-76.59524
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Brutus,Cayuga,NY,2019-09-09 13:35:29,09/09/2019 02:32:26 PM,"Accident on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 1:34 PM, 09/09/2019 until further notice. [CARS CAD-192520277]",New York State Thruway-State Wide Operations Center - Albany,42.975531,-76.80654
accident,New York State Department of Transportation Region 3,I-690,Eastbound,before Syracuse,Onondaga,NY,2019-09-09 07:49:19,09/09/2019 08:50:25 AM,Accident on I-690 eastbound before Exit 11 - West Street (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.054125,-76.153247
debris spill,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between De Witt,Onondaga,NY,2019-09-08 11:23:17,09/08/2019 12:26:21 PM,"Debris on roadway on I-90 - NYS Thruway westbound between Exit 35 (I-90) - Syracuse (Rte 298) and Exit 36 (I-90) - Syracuse (I-81) starting 11:22 AM, 09/08/2019 until further notice. [CARS CAD-192510155]",New York State Thruway-State Wide Operations Center - Albany,43.093338,-76.130427
incident,New York State Department of Transportation Region 3,NY 695,Northbound,at Geddes,Onondaga,NY,2019-09-08 00:10:23,09/08/2019 01:17:20 AM,Accident on NY 695 northbound at I-690 West Exit (Geddes) exit ramp closed,New York State Department of Transportation Region 3,43.074401,-76.2303
accident,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-09-06 15:19:22,09/06/2019 03:48:24 PM,Accident on I-81 southbound before Exit 17 - South Salina Street; Brighton Avenue; State Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.02,-76.140296
police department activity,New York State Department of Transportation Region 3,NY 370,Westbound,east of Salina,Onondaga,NY,2019-09-06 01:57:22,09/06/2019 02:02:25 AM,Police department activity on NY 370 westbound east of Oswego Street; NY 57 (Salina) right lane closed,New York State Department of Transportation Region 3,43.102401,-76.204696
incident,New York State Department of Transportation Region 3,NY 370,Both directions,between Lysander,Onondaga,NY,2019-09-05 21:07:23,09/05/2019 11:01:23 PM,Fire department activity on NY 370 both directions between East Genesee Street; NY 31 (Lysander) and NY 631; Baldwinsville Bypass (Lysander) all lanes closed,New York State Department of Transportation Region 3,43.159099,-76.326797
incident,New York State Department of Transportation Region 3,NY 321,Both directions,north of Skaneateles,Onondaga,NY,2019-09-05 17:50:27,09/05/2019 06:50:26 PM,Accident on NY 321 both directions north of East Genesee Street; US 20; START ROUTE NY 321 (Skaneateles) all lanes closed between Mottville Road and Old Seneca Turnpike,New York State Department of Transportation Region 3,42.945598,-76.427803
accident,New York State Department of Transportation Region 3,I-690,Westbound,at Syracuse,Onondaga,NY,2019-09-05 17:28:25,09/05/2019 05:52:22 PM,Accident on I-690 westbound at I-81 Northbound (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.0512,-76.145698
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Van Buren,Onondaga,NY,2019-09-04 19:41:20,09/04/2019 10:14:19 PM,"Accident on I-90 - NYS Thruway westbound between Exit 39 (I-90) - State Fair (I-690) and Exit 40 (I-90) - Weedsport (Rte 34) starting 7:37 PM, 09/04/2019 until further notice. [CARS CAD-192470391]",New York State Thruway-State Wide Operations Center - Albany,43.075656,-76.49241
incident,New York State Department of Transportation Region 4,NY 256,Both directions,between Geneseo,Livingston,NY,2019-09-04 19:41:20,09/04/2019 09:18:24 PM,Downed pole and Downed wires on NY 256 both directions between Booher Hill RD (Geneseo) and Maple Beach RD (Geneseo) all lanes of 2 lanes closed,New York State Department of Transportation Region 4,42.764812,-77.726417
accident,New York State Department of Transportation Region 3,I-690,Westbound,just past Geddes,Onondaga,NY,2019-09-02 21:54:20,09/02/2019 10:40:17 PM,Accident on I-690 westbound just past Exit 6 - NY 695 (Geddes) left lane closed,New York State Department of Transportation Region 3,43.084999,-76.228996
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Brutus,Cayuga,NY,2019-09-02 16:19:20,09/02/2019 06:37:19 PM,"Accident on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 4:15 PM, 09/02/2019 until further notice. [CARS CAD-192450262]",New York State Thruway-State Wide Operations Center - Albany,43.058579,-76.57808
"delays, stop and go traffic",New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,from Brutus,Cayuga,NY,2019-09-02 12:28:23,09/02/2019 05:40:18 PM,"Slow traffic, stop and go traffic, delays on I-90 - NYS Thruway westbound from after Exit 40 (I-90) - Weedsport (Rte 34) to before Exit 41 (I-90) - Waterloo (Rte 414) starting 12:25 PM, 09/02/2019 until further notice. [CARS CAD-192450133]",New York State Thruway-State Wide Operations Center - Albany,43.056649,-76.587625
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Brutus,Cayuga,NY,2019-09-02 11:16:21,09/02/2019 12:19:21 PM,"Accident on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 11:14 AM, 09/02/2019 until further notice. [CARS CAD-192450104]",New York State Thruway-State Wide Operations Center - Albany,43.026457,-76.667427
special event,New York State Department of Transportation Region 3,I-690,Both directions,at Geddes,Onondaga,NY,2019-09-02 08:02:21,09/02/2019 11:01:20 PM,"Special event, fair on I-690 both directions at Exit 7 - ROUTE 297; Solvay-Fairgrounds (Geddes) until 11:00 P.M. . The 2019 Edition of the Great New York State Fair will take place daily",New York State Department of Transportation Region 3,43.0764,-76.214302
accident,New York State Department of Transportation Region 3,I-81,Northbound,at Tully,Onondaga,NY,2019-09-02 04:00:20,09/02/2019 04:46:20 AM,Accident on I-81 northbound at Exit 14 - US 11; NY 80; NY 281; Tully (Tully) left lane closed,New York State Department of Transportation Region 3,42.796298,-76.123298
incident,New York State Department of Transportation Region 3,I-81,Southbound,at Syracuse,Onondaga,NY,2019-09-02 03:12:21,09/02/2019 03:31:21 AM,Disabled vehicle on I-81 southbound at Exit 17 - South Salina Street; Brighton Avenue; State Street (Syracuse) partial ramp closed,New York State Department of Transportation Region 3,43.02,-76.140296
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between Brutus,Cayuga,NY,2019-09-01 21:31:16,09/02/2019 12:19:17 AM,"Accident on I-90 - NYS Thruway eastbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 39 (I-90) - State Fair (I-690) starting 9:30 PM, 09/01/2019 until further notice. [CARS CAD-192440437]",New York State Thruway-State Wide Operations Center - Albany,43.061306,-76.564506
incident,New York State Department of Transportation Region 3,US 11,Both directions,north of Onondaga,Onondaga,NY,2019-09-01 21:04:23,09/02/2019 01:12:16 AM,Accident on US 11 both directions north of NY 11A (Onondaga) all lanes closed between Everingham Rd and Hoover Dr.,New York State Department of Transportation Region 3,42.982478,-76.142892
special event,New York State Department of Transportation Region 3,I-690,Both directions,at Geddes,Onondaga,NY,2019-09-01 08:02:20,09/01/2019 11:01:18 PM,"Special event, fair on I-690 both directions at Exit 7 - ROUTE 297; Solvay-Fairgrounds (Geddes) until 11:00 P.M. . The 2019 Edition of the Great New York State Fair will take place daily",New York State Department of Transportation Region 3,43.0764,-76.214302
accident,New York State Department of Transportation Region 3,I-690,Westbound,before Geddes,Onondaga,NY,2019-08-31 21:40:17,08/31/2019 09:50:39 PM,Accident on I-690 westbound before Exit 7 - ROUTE 297; Solvay-Fairgrounds (Geddes) right lane closed,New York State Department of Transportation Region 3,43.0764,-76.214302
accident,New York State Department of Transportation Region 3,I-81,Northbound,Syracuse,Onondaga,NY,2019-08-31 07:03:21,08/31/2019 07:29:23 AM,Accident on I-81 northbound Exit 18 - Adams Street; Harrison Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.039398,-76.142097
accident,New York State Department of Transportation Region 3,I-81,Southbound,at Syracuse,Onondaga,NY,2019-08-30 18:14:22,08/30/2019 06:36:22 PM,Accident on I-81 southbound at Exit 21 - Spencer Street; Catawba Street (Syracuse) right and center lanes closed,New York State Department of Transportation Region 3,43.0601,-76.155296
accident,New York State Department of Transportation Region 3,I-690,Eastbound,before Syracuse,Onondaga,NY,2019-08-30 17:19:21,08/30/2019 07:00:22 PM,Accident on I-690 eastbound before Exit 11 and Exit 12 - West Street Arterial; West Genesee Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.055301,-76.163002
accident,New York State Department of Transportation Region 3,I-690,Eastbound,at Syracuse,Onondaga,NY,2019-08-30 17:16:20,08/30/2019 05:31:18 PM,Accident on I-690 eastbound at I-81 Southbound (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.0513,-76.149002
disabled vehicle,New York State Department of Transportation Region 3,I-690,Eastbound,before Syracuse,Onondaga,NY,2019-08-30 14:45:22,08/30/2019 03:41:20 PM,Disabled vehicle on I-690 eastbound before Exit 14 - Teall Avenue (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.052101,-76.125801
accident,New York State Department of Transportation Region 3,I-690,Eastbound,at Syracuse,Onondaga,NY,2019-08-28 18:12:20,08/28/2019 07:06:21 PM,Accident on I-690 eastbound at Exit 16N and Exit 16S - NY 635 Thompson Road (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.058998,-76.088096
incident,New York State Department of Transportation Region 3,I-690,Westbound,before Geddes,Onondaga,NY,2019-08-28 16:16:21,08/28/2019 04:32:25 PM,Disabled vehicle on I-690 westbound before Exit 7 - ROUTE 297; Solvay-Fairgrounds (Geddes) partial ramp closed,New York State Department of Transportation Region 3,43.0764,-76.214302
earlier incident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between Salina,Onondaga,NY,2019-08-28 14:55:23,08/28/2019 03:52:23 PM,"Incident cleared on I-90 - NYS Thruway eastbound between Exit 37 (I-90) - Electronics Parkway and Exit 36 (I-90) - Syracuse (I-81) starting 2:51 PM, 08/28/2019 until further notice. [CARS CAD-192400256]",New York State Thruway-State Wide Operations Center - Albany,43.094688,-76.167773
accident,New York State Department of Transportation Region 3,I-81,Northbound,before La Fayette,Onondaga,NY,2019-08-28 08:23:19,08/28/2019 08:49:18 AM,Accident on I-81 northbound before Exit 15 - US 11; US 20; LaFayette (La Fayette) left lane closed,New York State Department of Transportation Region 3,42.894401,-76.110603
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Eastbound,between Salina,Onondaga,NY,2019-08-27 21:34:21,08/27/2019 10:13:21 PM,"Accident on I-90 - NYS Thruway eastbound between Exit 37 (I-90) - Electronics Parkway and Exit 36 (I-90) - Syracuse (I-81) starting 9:30 PM, 08/27/2019 until further notice. [CARS CAD-192390549]",New York State Thruway-State Wide Operations Center - Albany,43.094688,-76.167773
accident,New York State Department of Transportation Region 3,I-690,Eastbound,at Syracuse,Onondaga,NY,2019-08-27 13:58:27,08/27/2019 02:53:23 PM,Accident on I-690 eastbound at Exit 8 - Hiawatha Boulevard (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.059398,-76.185501
